service_id,service_name,entity_id,service_category,life_events,delivery_channel,target_consumers,enhanced_description,
SVC-TAX-008,Value Added Tax (VAT) Registration,DEP-010,taxation_duties_and_revenue,starting_a_business,"office,web_portal",business,"Register for Value Added Tax (VAT) as required under Grenada's tax laws. Process: Submit VAT registration application when turnover exceeds threshold. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: ird.gd. SLA: 10-15 business days.",
SVC-TAX-009,VAT Return Filing,DEP-010,taxation_duties_and_revenue,starting_a_business,"office,web_portal",business,"Submit VAT returns and declarations to the Inland Revenue Division. Process: File monthly/quarterly VAT returns with sales and purchases data. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: taxservices.gov.gd. SLA: 21st of following month.",
SVC-TAX-010,Withholding Tax Filing and Payment,DEP-010,taxation_duties_and_revenue,starting_a_business,"office,web_portal",business,"File and pay withholding tax withheld from relevant payments. Process: Submit withholding tax returns monthly. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: taxservices.gov.gd.",
SVC-TAX-011,Annual Stamp Tax Filing,DEP-010,taxation_duties_and_revenue,,"office,web_portal",business,"File and pay Annual Stamp Tax where applicable. Process: Submit stamp tax return with applicable documents. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: ird.gd.",
SVC-TAX-012,Gaming Tax Filing,DEP-010,taxation_duties_and_revenue,starting_a_business,office,business,"File and pay Gaming Tax for licensed gaming activities. Process: Submit gaming tax returns based on gaming revenue. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556.",
SVC-TAX-013,Refreshment House Licence Application,DEP-010,taxation_duties_and_revenue,starting_a_business,office,business,"Apply for a Refreshment House Licence as required under tax and licensing regulations. Process: Submit application with premises details and business plan. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556.",
SVC-TAX-014,Property Transfer Tax Payment,DEP-010,taxation_duties_and_revenue,buying_property,"office,web_portal","citizen,business","Pay Property Transfer Tax when property is transferred in Grenada. Process: Pay tax at time of property transfer with deed. Address: Inland Revenue Division, Young Street, St. George's. Phone: (473) 440-3556. Web: ird.gd.",
SVC-CUS-001,Import Declaration (ASYCUDA),DEP-011,taxation_duties_and_revenue,starting_a_business,"web_portal,office",business,"Submit import declarations for goods entering Grenada via the ASYCUDA World customs system. Process: File Single Administrative Document (SAD) electronically. Address: Customs & Excise Division, Burns Point, The Carenage, St. George's. Web: asycuda.customs.gov.gd, grenadacustoms.com.",
SVC-CUS-002,Export Declaration (ASYCUDA),DEP-011,taxation_duties_and_revenue,starting_a_business,"web_portal,office",business,"Submit export declarations for goods leaving Grenada via the ASYCUDA World customs system. Process: File export declaration electronically with shipping documents. Address: Customs & Excise Division, Burns Point, The Carenage, St. George's. Web: asycuda.customs.gov.gd.",
SVC-CUS-003,Electronic Customs Declaration Services (ASYCUDA World),DEP-011,taxation_duties_and_revenue,starting_a_business,web_portal,business,"Use ASYCUDA World to submit and manage electronic customs declarations and supporting documents. Process: Register as trader and submit declarations online. Web: asycuda.customs.gov.gd. Address: Customs & Excise Division, Burns Point, St. George's.",
SVC-REG-001,Birth Certificate - Copy/Extract,DEP-013,identity_and_civil_registration,"having_a_baby,child_welfare",office,citizen,"Request certified copies or extracts of birth records from the Civil Registry & Deeds. Process: Submit application with ID and payment. Address: Civil Registry & Deeds, Ministry of Health Complex, Tanteen, St. George's. Phone: (473) 440-2737. Email: registrargda@caribsurf.com. Fee: EC $10.00. SLA: 3-5 business days.",
SVC-REG-002,Marriage Certificate - Copy/Extract,DEP-013,identity_and_civil_registration,getting_married,office,citizen,"Request certified copies of marriage records from the Civil Registry & Deeds. Process: Submit application with ID and marriage details. Address: Civil Registry & Deeds, Ministry of Health Complex, Tanteen, St. George's. Phone: (473) 440-2737. Email: registrargda@caribsurf.com. Fee: EC $10.00. SLA: 3-5 business days.",
SVC-REG-003,Death Certificate - Copy/Extract,DEP-013,identity_and_civil_registration,death_and_bereavement,office,citizen,"Request certified copies of death records from the Civil Registry & Deeds. Process: Submit application with deceased's details. Address: Civil Registry & Deeds, Ministry of Health Complex, Tanteen, St. George's. Phone: (473) 440-2737. Email: registrargda@caribsurf.com. Fee: EC $10.00. SLA: 3-5 business days.",
SVC-REG-004,Marriage Licence Application,DEP-001,governance_elections_and_public_administration,getting_married,office,citizen,"Apply to the Cabinet Office for a marriage licence in Grenada. Process: Both parties apply with birth certificates, ID, and affidavits if previously married. Address: Cabinet Office, Ministerial Complex, St. George's. Phone: (473) 440-2737. SLA: 3-7 business days.",
SVC-POL-001,Police Certificate of Character,AGY-002,justice_legal_affairs_and_law_enforcement,"traveling_abroad,starting_work",office,citizen,"Request a police certificate of character from the Royal Grenada Police Force for employment visas or other purposes. Process: Submit application with fingerprints and photos. Address: RGPF Headquarters, Fort George, St. George's. Phone: (473) 440-2112. Web: rgpf.gd. SLA: 7-14 business days.",
SVC-WAT-001,New Water Connection,AGY-012,utilities_and_public_infrastructure,"buying_property,moving_house",office,"citizen,business","Apply to the National Water and Sewerage Authority (NAWASA) for a new domestic or commercial water connection. Process: Submit application with property documents and site plan. Address: NAWASA, Lucas Street, St. George's. Phone: (473) 440-2155. SLA: 14-21 business days.",
SVC-WAT-002,Water Bill Payment,AGY-012,utilities_and_public_infrastructure,,"office,web_portal","citizen,business","Pay water bills through NAWASA's payment channels (office or approved agents and any available online options). Process: Pay monthly water bill at office or authorized agents. Address: NAWASA, Lucas Street, St. George's. Phone: (473) 440-2155.",
SVC-ELC-001,New Electricity Connection,AGY-013,utilities_and_public_infrastructure,"buying_property,moving_house",office,"citizen,business","Apply to Grenada Electricity Services Ltd (GRENLEC) for a new electricity supply connection. Process: Submit application with electrical inspection certificate and property documents. Address: GRENLEC, Dusty Highway, Grand Anse. Phone: (473) 440-2097. Web: grenlec.com. SLA: 7-14 business days.",
SVC-ELC-002,Electricity Bill Payment,AGY-013,utilities_and_public_infrastructure,,"office,web_portal","citizen,business","Pay electricity bills via GRENLEC customer service centres or online payment channels where available. Process: Pay monthly electricity bill. Address: GRENLEC, Dusty Highway, Grand Anse. Phone: (473) 440-2097. Web: grenlec.com.",
SVC-TRM-001,Tour Operator Licence,AGY-010,tourism_culture_and_events,starting_a_business,office,business,"Apply to the Grenada Tourism Authority for a tour operator licence to operate a tourism enterprise. Process: Submit application with business plan and insurance. Address: Grenada Tourism Authority, Burns Point, St. George's. Phone: (473) 440-2279. Email: info@puregrenada.com. Web: puregrenada.com.",
SVC-TRM-002,Hotel / Accommodation Registration,AGY-010,tourism_culture_and_events,starting_a_business,office,business,"Register hotels guest houses and other tourist accommodation facilities with the Grenada Tourism Authority. Process: Submit registration with facility details and inspection. Address: Grenada Tourism Authority, Burns Point, St. George's. Phone: (473) 440-2279. Email: info@puregrenada.com.",
SVC-TRM-003,Tourist Vendor Licence,AGY-010,tourism_culture_and_events,starting_a_business,office,business,"Apply for or renew a tourist vendor's licence in accordance with tourism and beach vending regulations. Process: Submit application with ID and vendor location details. Address: Grenada Tourism Authority, Burns Point, St. George's. Phone: (473) 440-2279.",
SVC-TRM-004,Tourist Guide Licence,AGY-010,tourism_culture_and_events,starting_a_business,office,citizen,"Apply for a Tourist Guide Licence using the official tourism enterprise application form. Process: Complete training and submit application. Address: Grenada Tourism Authority, Burns Point, St. George's. Phone: (473) 440-2279. Email: info@puregrenada.com.",
SVC-TRM-005,Water Sports Services Licence,AGY-010,tourism_culture_and_events,starting_a_business,office,business,"Apply for a Water Sports Services Licence to operate water-based tourism enterprises. Process: Submit application with safety certifications and insurance. Address: Grenada Tourism Authority, Burns Point, St. George's. Phone: (473) 440-2279.",
SVC-AIR-001,Airport Concession / Lease Application,AGY-011,transport_vehicles_and_civil_aviation,starting_a_business,office,business,"Apply to the Grenada Airports Authority for commercial concessions or leases at airports. Process: Submit business proposal and lease application. Address: Grenada Airports Authority, Point Salines International Airport. Phone: (473) 444-4121.",
SVC-NIS-001,NIS Employer Registration,AGY-020,social_protection_and_insurance,starting_a_business,"office,web_portal",business,"Register an employer with the National Insurance Scheme to remit NIS contributions on behalf of employees. Process: Complete employer registration form with business documents. Address: NIS, Melville Street, St. George's. Phone: (473) 440-3309. WhatsApp: 458-6060. Email: nis@nisgrenada.org. Web: nisgrenada.org.",
SVC-NIS-010,NIS Sickness Benefit Claim,AGY-020,social_protection_and_insurance,illness_or_disability,office,citizen,"Submit a claim for Sickness Benefit under the National Insurance Scheme. Process: Submit claim form with medical certificate within 21 days of illness. Address: NIS, Melville Street, St. George's. Phone: (473) 440-3309. Email: nis@nisgrenada.org. Web: nisgrenada.org.",
SVC-NIS-011,NIS Maternity Benefit Claim,AGY-020,social_protection_and_insurance,having_a_baby,office,citizen,"Submit a claim for Maternity Benefit under the National Insurance Scheme. Process: Submit claim with medical certificate confirming pregnancy. Address: NIS, Melville Street, St. George's. Phone: (473) 440-3309. Email: nis@nisgrenada.org. Web: nisgrenada.org.",
SVC-NIS-012,NIS Unemployment Benefit Claim,AGY-020,social_protection_and_insurance,losing_a_job,office,citizen,"Submit a claim for Unemployment Benefit under the National Insurance Scheme. Process: Submit claim with proof of employment termination. Address: NIS, Melville Street, St. George's. Phone: (473) 440-3309. Email: nis@nisgrenada.org. Web: nisgrenada.org.",
SVC-NIS-013,NIS Funeral Benefit Claim,AGY-020,social_protection_and_insurance,death_and_bereavement,office,citizen,"Submit a claim for Funeral Benefit to support funeral expenses. Process: Submit claim with death certificate and funeral receipts. Address: NIS, Melville Street, St. George's. Phone: (473) 440-3309. Email: nis@nisgrenada.org.",
SVC-NIS-014,NIS Age Benefit (Pension) Claim,AGY-020,social_protection_and_insurance,retiring,office,citizen,"Submit a claim for Age/retirement benefit (pension) from the National Insurance Scheme. Process: Apply 3 months before retirement age with contribution history. Address: NIS, Melville Street, St. George's. Phone: (473) 440-3309. Email: nis@nisgrenada.org. Web: nisgrenada.org.",
SVC-NIS-015,NIS Survivors Benefit Claim,AGY-020,social_protection_and_insurance,death_and_bereavement,office,citizen,"Submit a claim for Survivors Benefit for eligible dependants of a deceased insured person. Process: Submit claim with death certificate and proof of relationship. Address: NIS, Melville Street, St. George's. Phone: (473) 440-3309. Email: nis@nisgrenada.org.",
SVC-NIS-016,NIS Employment Injury Benefit Claim,AGY-020,social_protection_and_insurance,illness_or_disability,office,citizen,"Submit a claim for Employment Injury-related benefits under the National Insurance Scheme. Process: Submit claim with employer's injury report and medical certificate. Address: NIS, Melville Street, St. George's. Phone: (473) 440-3309. Email: nis@nisgrenada.org.",
SVC-SOC-001,Support for Education Empowerment and Development (SEED) Cash Transfer,MIN-012,social_protection_cash_transfers,"experiencing_hardship,child_welfare",office,citizen,"Flagship social safety net programme providing regular cash transfers (EC$50-$700/month) to the poorest and most vulnerable households in Grenada, Carriacou and Petite Martinique. Process: Apply through Ministry social worker assessment. Address: Ministry of Social Development, Ministerial Complex West Wing, Tanteen, St. George's. Phone: (473) 440-6037. Email: ministrysod@yahoo.com.",
SVC-SOC-002,Public Assistance (legacy programmes merged into SEED),MIN-012,social_protection_cash_transfers,experiencing_hardship,office,citizen,"Legacy cash assistance schemes such as Public Assistance and related funds that were consolidated under the unified SEED Programme. Process: Contact Ministry for transition to SEED. Address: Ministry of Social Development, Ministerial Complex West Wing, Tanteen, St. George's. Phone: (473) 440-6037.",
SVC-SOC-003,Counselling and Psycho-social Support for Vulnerable Persons,MIN-012,social_protection_and_family_support,"violence_or_abuse,experiencing_hardship",office,citizen,"Counselling and psycho-social support services for survivors of violence, vulnerable households and persons in need, coordinated by Social & Community Development units. Process: Self-referral or agency referral to social worker. Address: Ministry of Social Development, Ministerial Complex West Wing, Tanteen, St. George's. Phone: (473) 440-6037.",
SVC-SOC-004,Social Protection Case Management / Beneficiary Management,MIN-012,social_protection_and_family_support,experiencing_hardship,office,citizen,"Intake assessment and case management service that registers and manages beneficiary households for social safety net programmes such as SEED. Process: Household assessment by trained social worker. Address: Ministry of Social Development, Ministerial Complex West Wing, Tanteen, St. George's. Phone: (473) 440-6037.",
SVC-SOC-005,Senior Citizens / Elderly Support Assistance,DEP-026,social_protection_and_family_support,"retiring,illness_or_disability",office,citizen,"Social protection and support services targeted at elderly and senior citizens including assistance with basic needs and referrals to relevant programmes. Process: Apply through Social Services Department. Address: Social Services Department, Ministerial Complex, St. George's. Phone: (473) 440-6037.",
SVC-SOC-006,Disability Support Grant Application,DEP-026,social_protection_and_family_support,illness_or_disability,office,citizen,"Application for disability-related support or grants managed by Social Services for eligible persons with disabilities. Process: Submit application with medical certification of disability. Address: Social Services Department, Ministerial Complex, St. George's. Phone: (473) 440-6037.",
SVC-SOC-007,Emergency Household Assistance (Shocks and Disasters),DEP-026,social_protection_and_family_support,"disaster_recovery,experiencing_hardship",office,citizen,"Provision of short-term emergency assistance to households affected by shocks disasters or sudden loss of income managed through social services casework. Process: Emergency assessment by social worker. Address: Social Services Department, Ministerial Complex, St. George's. Phone: (473) 440-6037.",
SVC-SOC-008,Gender-Based Violence Response and Referral,DEP-024,social_protection_and_family_support,violence_or_abuse,"office,phone",citizen,"Support and referral services for survivors of gender-based violence including access to shelters counselling and justice-sector referrals. Process: Confidential intake and safety planning. Address: Gender Affairs Division, Ministerial Complex, St. George's. Phone: (473) 440-6037. Crisis Line available.",
SVC-HOU-001,China-aided Low-Income Housing Units - Application,DEP-025,housing_support,"buying_property,experiencing_hardship",office,citizen,"Application for allocation of China-aided low-income housing units through the Housing Division / Housing Authority processes. Process: Submit application with income verification. Address: Housing Division, Ministerial Complex, St. George's. Phone: (473) 440-6037.",
SVC-HOU-002,Soft Loan / Affordable Housing Support,DEP-025,housing_support,buying_property,office,citizen,"Financial housing support such as soft loans or related facilities to assist eligible households to access adequate housing. Process: Apply with income documents and property details. Address: Housing Division, Ministerial Complex, St. George's. Phone: (473) 440-6037.",
SVC-STA-001,Official Statistics / Data Request,DEP-014,statistics_and_data,,"office,email","citizen,business,government_employee","Request official statistics and datasets from the Central Statistical Office via its data request channels. Process: Submit formal data request. Address: Central Statistical Office, Ministerial Complex, St. George's. Phone: (473) 440-1731. Email: stats@gov.gd.",
SVC-STA-002,Statistical Publications & Reports Access,DEP-014,statistics_and_data,,"office,web_portal","citizen,business,government_employee","Access statistical publications bulletins survey reports and census outputs produced by the Central Statistical Office. Process: Download from website or request copies. Address: Central Statistical Office, Ministerial Complex, St. George's. Phone: (473) 440-1731.",
SVC-INV-001,Application for Fiscal / Investment Incentives,AGY-007,investment_and_business_support,starting_a_business,office,business,"Submit applications for fiscal and other investment incentives through the Grenada Investment Development Corporation (GIDC). Process: Submit business plan and investment proposal. Address: GIDC, Frequente, St. George's. Phone: (473) 444-1035. Web: grenadaidc.com.",
SVC-INV-002,Business Development Training Registration,AGY-007,investment_and_business_support,starting_a_business,"office,event",business,"Register for entrepreneurship and business development training programmes offered or coordinated by GIDC. Process: Register for scheduled training sessions. Address: GIDC, Frequente, St. George's. Phone: (473) 444-1035. Web: grenadaidc.com.",
SVC-INV-003,Conference / Meeting Room Booking,AGY-007,investment_and_business_support,,"office,web_portal","business,government_employee","Book conference and meeting rooms managed by GIDC for businesses development partners and government agencies. Process: Submit booking request. Address: GIDC, Frequente, St. George's. Phone: (473) 444-1035.",
SVC-STD-001,Standards Testing and Certification Application,AGY-014,standards_quality_and_safety,starting_a_business,office,business,"Apply to the Grenada Bureau of Standards for testing inspection and certification services that support national quality infrastructure. Process: Submit samples and testing request. Address: Grenada Bureau of Standards, Queen's Park, St. George's. Phone: (473) 440-5886. Web: gnbs.gd.",
SVC-STD-002,Laboratory Testing Services,AGY-014,standards_quality_and_safety,starting_a_business,office,business,"Access laboratory testing services (e.g. analytical chemistry and product quality) provided by the Grenada Bureau of Standards. Process: Submit samples with testing requirements. Address: Grenada Bureau of Standards, Queen's Park, St. George's. Phone: (473) 440-5886.",
SVC-STD-003,Standards Purchase / Access,AGY-014,standards_quality_and_safety,,office,business,"Obtain national and international standards documents through the Grenada Bureau of Standards. Process: Request specific standards documents. Address: Grenada Bureau of Standards, Queen's Park, St. George's. Phone: (473) 440-5886.",
SVC-FIN-REG-001,Licence to Operate Money Services Business,AGY-019,financial_regulation_and_licensing,starting_a_business,office,business,"Apply to GARFIN for a licence to operate a Money Services Business under the Money Services Business Act. Process: Submit comprehensive application with business plan and compliance documentation. Address: GARFIN, Church Street, St. George's. Phone: (473) 440-7989.",
SVC-FIN-REG-002,Insurance Company Licence / Registration,AGY-019,financial_regulation_and_licensing,starting_a_business,office,business,"Apply for authorisation and licensing of insurance companies and pension plans under the Insurance Act supervised by GARFIN. Process: Submit application with capital requirements and actuarial reports. Address: GARFIN, Church Street, St. George's. Phone: (473) 440-7989.",
SVC-FIN-REG-003,Non-Bank Financial Institution Registration,AGY-019,financial_regulation_and_licensing,starting_a_business,office,business,"Register and maintain licences for non-bank financial institutions (e.g. credit unions certain investment entities) supervised by GARFIN. Process: Submit registration with governance documents. Address: GARFIN, Church Street, St. George's. Phone: (473) 440-7989.",
SVC-HE-ENV-001,Food Handler Training & Certification,DEP-017,public_health_and_sanitation,starting_a_business,office,"citizen,business","Attend food handler training and obtain certification and badges from the Environmental Health Department. Process: Complete training course and examination. Address: Environmental Health Department, Ministry of Health Complex, Tanteen. Phone: (473) 440-2255. Fee applies.",
SVC-HE-ENV-002,Food Handler Badge Renewal,DEP-017,public_health_and_sanitation,starting_a_business,office,"citizen,business","Renew existing Food Handler badges issued by the Environmental Health Department. Process: Submit renewal application before expiry. Address: Environmental Health Department, Ministry of Health Complex, Tanteen. Phone: (473) 440-2255.",
SVC-HE-ENV-003,Food Establishment Certification (Fish Processing Facilities),DEP-017,public_health_and_sanitation,starting_a_business,office,business,"Seek certification for fish processing and similar food establishments through application inspection and licensing by the Environmental Health Department. Process: Facility inspection and compliance review. Address: Environmental Health Department, Ministry of Health Complex, Tanteen. Phone: (473) 440-2255.",
SVC-HE-ENV-004,Public Health Inspection Request (Premises or Events),DEP-017,public_health_and_sanitation,starting_a_business,office,business,"Request public health inspections of food premises public events or facilities to ensure compliance with environmental health standards. Process: Submit inspection request. Address: Environmental Health Department, Ministry of Health Complex, Tanteen. Phone: (473) 440-2255.",
SVC-HE-COM-001,Community Health Clinic Appointment / Registration,DEP-019,health_services_and_clinics,illness_or_disability,"office,phone",citizen,Register for or request appointments at community health clinics providing primary healthcare services. Process: Walk-in or call for appointment. Address: Nearest Community Health Centre. Phone: Ministry of Health (473) 440-2255. Services: Free/low-cost primary care.,
SVC-HE-COM-002,Community Health Outreach / Screening Programme Registration,DEP-019,health_services_and_clinics,illness_or_disability,"office,event",citizen,Register individuals or communities to participate in outreach clinics vaccination drives or screening programmes organised by Community Health Services. Process: Register at community health centre or during outreach events. Phone: (473) 440-2255.,
SVC-YTH-001,Community Support Grant Fund - Youth Projects,MIN-004,youth_and_community_development,,office,"citizen,ngo","Apply for Community Support Grant funding for youth-led community projects under the Division of Youth / Ministry of Youth & Sports. Process: Submit project proposal with budget. Address: Ministry of Youth & Sports, Tanteen, St. George's. Phone: (473) 440-2255.",
SVC-YTH-002,Youth Project Proposal Submission & Review,MIN-004,youth_and_community_development,,office,"citizen,student","Submit youth project proposals for review and possible support under Ministry of Youth & Sports programmes. Process: Submit detailed proposal with objectives and outcomes. Address: Ministry of Youth & Sports, Tanteen, St. George's. Phone: (473) 440-2255.",
SVC-AGR-001,Agricultural Land Lease / Tenancy Application,DEP-027,land_administration_and_cadastre,starting_a_business,office,"citizen,business","Apply for the lease or tenancy of agricultural lands managed by the Lands & Survey Division / Ministry of Agriculture & Lands. Process: Submit application with farming proposal. Address: Lands & Survey Division, Ministerial Complex, St. George's. Phone: (473) 440-2731.",
SVC-AGR-002,Survey Plan Request / Cadastral Survey,DEP-027,land_administration_and_cadastre,buying_property,office,"citizen,business","Request cadastral surveys and the preparation of survey plans for parcels of land through the Lands & Survey Division. Process: Submit survey request with property details. Address: Lands & Survey Division, Ministerial Complex, St. George's. Phone: (473) 440-2731. SLA: 7-18 days.",
SVC-AGR-003,Fisheries Vessel Registration & Licensing,DEP-028,fisheries_and_marine_resources,starting_a_business,office,business,"Register fishing vessels and obtain appropriate licences and markings through the Fisheries Division. Process: Submit vessel details and safety documentation. Address: Fisheries Division, Melville Street, St. George's. Phone: (473) 440-3814.",
SVC-AGR-004,Fisherfolk / Fishing Enterprise Registration,DEP-028,fisheries_and_marine_resources,starting_a_business,office,citizen,"Register fishers and fishing enterprises with the Fisheries Division for inclusion in official records and eligibility for support programmes. Process: Complete fisher registration form. Address: Fisheries Division, Melville Street, St. George's. Phone: (473) 440-3814.",
SVC-AGR-005,Forest Produce / Tree Cutting Permit,DEP-029,forestry_and_wildlife_management,,office,"citizen,business","Apply for permits to cut trees or harvest forest produce in accordance with forestry laws and regulations. Process: Submit application with forest location details. Address: Forestry Department, Queen's Park, St. George's. Phone: (473) 440-2934.",
SVC-AGR-006,Co-operative Society Registration,DEP-030,cooperatives_and_producer_organizations,starting_a_business,office,business,"Register new co-operative societies with the Cooperatives Division including submission of required documentation and by-laws. Process: Submit registration with by-laws and member list. Address: Cooperatives Division, Ministerial Complex, St. George's. Phone: (473) 440-2731.",
SVC-AGR-007,Co-operative Society Annual Return Filing,DEP-030,cooperatives_and_producer_organizations,,office,business,"Submit annual returns and required reports for registered co-operative societies to the Cooperatives Division. Process: File annual return with financial statements. Address: Cooperatives Division, Ministerial Complex, St. George's. Phone: (473) 440-2731.",
SVC-AGR-008,Farm Support / Agricultural Assistance Programme Application,MIN-014,agriculture_and_rural_development,starting_a_business,office,"citizen,business","Apply for farm support or agricultural assistance programmes offered under the Ministry of Agriculture & Lands Forestry & Marine Resources (e.g. inputs technical support). Process: Submit application with farm details. Address: Ministry of Agriculture, Ministerial Complex, St. George's. Phone: (473) 440-2731.",
SVC-EDU-001,Regional / External Examination Registration,DEP-021,education_exams_and_assessment,"going_to_school,pursuing_higher_education",office,student,"Register candidates for regional or external examinations administered through the Examinations Unit. Process: School registers students with required fees. Address: Examinations Unit, Ministry of Education, Tanteen. Phone: (473) 440-2737. SLA: Registration deadlines apply.",
SVC-EDU-002,National Examination / Assessment Registration,DEP-021,education_exams_and_assessment,going_to_school,office,student,"Register students for national examinations or assessments coordinated by the Examinations Unit. Process: School submits registration with student details. Address: Examinations Unit, Ministry of Education, Tanteen. Phone: (473) 440-2737.",
SVC-EDU-003,Replacement of Examination Certificates / Statements,DEP-021,education_exams_and_assessment,"going_to_school,pursuing_higher_education",office,student,"Request replacement copies of examination certificates or statements of results through the Examinations Unit. Process: Submit request with ID and fee. Address: Examinations Unit, Ministry of Education, Tanteen. Phone: (473) 440-2737. Fee applies.",
SVC-EDU-004,Government Scholarship Application,DEP-022,education_scholarships_and_financial_aid,pursuing_higher_education,office,student,"Apply for government scholarships or bursaries for tertiary or overseas study coordinated by the Tertiary Education Unit. Process: Submit application with academic records and references. Address: Tertiary Education Unit, Ministry of Education, Tanteen. Phone: (473) 440-2737.",
SVC-EDU-005,Study Leave / Tuition Support Application,DEP-022,education_scholarships_and_financial_aid,pursuing_higher_education,office,"student,government_employee","Apply for study leave or tuition support schemes for eligible students or public officers via the Tertiary Education Unit. Process: Submit application through employer or directly. Address: Tertiary Education Unit, Ministry of Education, Tanteen. Phone: (473) 440-2737.",
SVC-EDU-006,School Transfer Request (Primary / Secondary),DEP-023,education_school_administration,going_to_school,office,student,"Submit requests to transfer students between primary or secondary schools managed by the School Administration Division. Process: Parent submits transfer request through school. Address: School Administration Division, Ministry of Education, Tanteen. Phone: (473) 440-2737.",
SVC-EDU-007,School Placement / Admission Request,DEP-023,education_school_administration,going_to_school,office,student,"Request school placements or admission for students entering the school system or changing schools managed by the School Administration Division. Process: Submit placement request with previous school records. Address: School Administration Division, Ministry of Education, Tanteen. Phone: (473) 440-2737.",
